   11     0 [  0] sqllang!CUDXR_ExternalScript::ProcessResultRows
   38     0 [  1]   sqllang!CServerCargoContext::ReadOneRow
   38     0 [  2]     sqldk!CMemProc::Alloc
   51    38 [  1]   sqllang!CServerCargoContext::ReadOneRow
   19     0 [  2]     sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   59    57 [  1]   sqllang!CServerCargoContext::ReadOneRow
   19     0 [  2]     sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   78    76 [  1]   sqllang!CServerCargoContext::ReadOneRow
   28     0 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
  150     0 [  3]       sqllang!CSQLSatelliteCommunication::CSQLSatelliteCommunication
   36   150 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   49     0 [  3]       sqllang!CSQLSatelliteCommunication::Init
   40     0 [  4]         sqldk!CMemProc::Alloc
   68    40 [  3]       sqllang!CSQLSatelliteCommunication::Init
   40     0 [  4]         sqldk!CMemProc::Alloc
  118    80 [  3]       sqllang!CSQLSatelliteCommunication::Init
   16     0 [  4]         sqllang!CAutoRg<CSQLSatelliteMessageDataChunk>::operator=
  126    96 [  3]       sqllang!CSQLSatelliteCommunication::Init
    1     0 [  4]         sqllang!memcpy
   81     0 [  4]         MSVCR120!memcpy
  137   178 [  3]       sqllang!CSQLSatelliteCommunication::Init
   19     0 [  4]         sqllang!GetTypeSizeInBytes
  157   197 [  3]       sqllang!CSQLSatelliteCommunication::Init
   19     0 [  4]         sqllang!GetTypeSizeInBytes
  177   216 [  3]       sqllang!CSQLSatelliteCommunication::Init
   16     0 [  4]         sqllang!CAutoRg<CSQLSatelliteMessageDataChunk>::operator=
  182   232 [  3]       sqllang!CSQLSatelliteCommunication::Init
   16     0 [  4]         sqllang!CAutoRg<_SQLSatellite_ColumnSchema>::operator=
  192   248 [  3]       sqllang!CSQLSatelliteCommunication::Init
    6     0 [  4]         sqllang!_security_check_cookie
  202   254 [  3]       sqllang!CSQLSatelliteCommunication::Init
   45   606 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   56     0 [  3]       sqllang!CSQL_RowChunk::FreePackets
   53   662 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   10     0 [  3]       sqllang!CSQLSatelliteConnection::GetNextMessage
   53     0 [  4]         sqllang!CSQLSatelliteConnection::RetrieveMessage
   19    53 [  3]       sqllang!CSQLSatelliteConnection::GetNextMessage
   73   734 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   19     0 [  3]       sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   80   753 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
    6     0 [  3]       sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
   75     0 [  4]         sqllang!CSQLSatelliteMessage::BindBufferForRead
   17    75 [  3]       sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
   63     0 [  4]         sqllang!CSQLSatelliteMessageDataChunk::ReadPayloadHeader
   25   138 [  3]       sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
  125   916 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   14     0 [  3]       sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  4]         sqllang!_security_check_cookie
   17     6 [  3]       sqllang!CSQLSatelliteMessage::FireXEvent
  131   939 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   16     0 [  3]       sqllang!MessageTelemetry::Record
  147   955 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   10     0 [  3]       sqllang!CSQLSatelliteConnection::GetNextMessage
   53     0 [  4]         sqllang!CSQLSatelliteConnection::RetrieveMessage
   19    53 [  3]       sqllang!CSQLSatelliteConnection::GetNextMessage
  167  1027 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   19     0 [  3]       sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
  174  1046 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
    6     0 [  3]       sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
   75     0 [  4]         sqllang!CSQLSatelliteMessage::BindBufferForRead
   17    75 [  3]       sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
   63     0 [  4]         sqllang!CSQLSatelliteMessageDataChunk::ReadPayloadHeader
   25   138 [  3]       sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
  218  1209 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   14     0 [  3]       sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  4]         sqllang!_security_check_cookie
   17     6 [  3]       sqllang!CSQLSatelliteMessage::FireXEvent
  224  1232 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   16     0 [  3]       sqllang!MessageTelemetry::Record
  240  1248 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   10     0 [  3]       sqllang!CSQLSatelliteConnection::GetNextMessage
   53     0 [  4]         sqllang!CSQLSatelliteConnection::RetrieveMessage
   19    53 [  3]       sqllang!CSQLSatelliteConnection::GetNextMessage
  257  1320 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
    7     0 [  3]       sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
  264  1327 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
    4     0 [  3]       sqllang!CSQLSatelliteMessageChunkEnd::BindBufferForRead
   75     0 [  4]         sqllang!CSQLSatelliteMessage::BindBufferForRead
   32    75 [  3]       sqllang!CSQLSatelliteMessageChunkEnd::BindBufferForRead
  309  1434 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   14     0 [  3]       sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  4]         sqllang!_security_check_cookie
   17     6 [  3]       sqllang!CSQLSatelliteMessage::FireXEvent
  315  1457 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   16     0 [  3]       sqllang!MessageTelemetry::Record
  323  1473 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   50     0 [  3]       sqllang!CSQLSatelliteConnection::FreePackets
   39     0 [  4]         sqllang!SNIMemRegion::Push
   60    39 [  3]       sqllang!CSQLSatelliteConnection::FreePackets
  335  1572 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   20     0 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   95     0 [  4]         sqllang!SNIPacketAllocateEx2
   49    95 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   17     0 [  4]         sqllang!CSQLSatelliteMessage::FireXEvent
   67   112 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   26     0 [  4]         MSVCR120!memcpy_s
   69   138 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   35     0 [  4]         sqllang!GetSatelliteSessionContext
