    9     0 [  0] sqllang!CUDXR_ExternalScript::ProcessOutputSchema
   34     0 [  1]   sqllang!CUDXR_ExternalScript::GetOutputSchema
   29     0 [  2]     sqllang!CServerCargoContext::ReadSchemaInternal
  150     0 [  3]       sqllang!CSQLSatelliteCommunication::CSQLSatelliteCommunication
   38   150 [  2]     sqllang!CServerCargoContext::ReadSchemaInternal
   39     0 [  3]       sqllang!CSQLSatelliteCommunication::Init
   14     0 [  4]         sqllang!CAutoRg<CSQLSatelliteMessageDataChunk>::operator=
   44    14 [  3]       sqllang!CSQLSatelliteCommunication::Init
   14     0 [  4]         sqllang!CAutoRg<_SQLSatellite_ColumnSchema>::operator=
   54    28 [  3]       sqllang!CSQLSatelliteCommunication::Init
    6     0 [  4]         sqllang!_security_check_cookie
   64    34 [  3]       sqllang!CSQLSatelliteCommunication::Init
   57   248 [  2]     sqllang!CServerCargoContext::ReadSchemaInternal
   30     0 [  3]       sqllang!CServerCargoContext::ReadAllPackets
   10     0 [  4]         sqllang!CSQLSatelliteConnection::GetNextMessage
   14     0 [  5]           sqllang!CSQLSatelliteConnection::RetrieveMessage
    2     0 [  6]             sqldk!SystemThread::GetCurrentId
   44     2 [  5]           sqllang!CSQLSatelliteConnection::RetrieveMessage
   21    46 [  4]         sqllang!CSQLSatelliteConnection::GetNextMessage
   13     0 [  5]           sqllang!EventInternal<SuspendQueueSLock>::Wait
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   43     8 [  5]           sqllang!EventInternal<SuspendQueueSLock>::Wait
    2     0 [  6]             sqldk!SystemThread::GetCurrentId
   65    10 [  5]           sqllang!EventInternal<SuspendQueueSLock>::Wait
    9     0 [  6]             sqldk!SOS_Task::PreWait
    1     0 [  7]               KERNEL32!TlsGetValueStub
    7     0 [  7]               KERNEL32!TlsGetValue
   18     8 [  6]             sqldk!SOS_Task::PreWait
    1     0 [  7]               KERNEL32!QueryPerformanceCounterStub
   20     0 [  7]               ntdll!RtlQueryPerformanceCounter
   58    29 [  6]             sqldk!SOS_Task::PreWait
   10     0 [  7]               sqldk!XeSosPkg::wait_info::Publish
    2     0 [  8]                 sqldk!XE_Engine::GetCurrentSessionCtxtRecord
    3     0 [  9]                   sqldk!XE_Tls::GetRecord
    1     0 [ 10]                     KERNEL32!TlsGetValueStub
    7     0 [ 10]                     KERNEL32!TlsGetValue
