   19     0 [  0] sqlmin!CQueryExecContext::FinalCleanup
    4     0 [  1]   sqlmin!CUDXR_ExternalScriptCleanup::Close
    1     0 [  2]     sqllang!CUDXR_ExternalScript::Close
   21     0 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
    7     0 [  3]       sqllang!CUDXR_ExternalScript::EndOutput
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   14     8 [  3]       sqllang!CUDXR_ExternalScript::EndOutput
   33    22 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   28     0 [  3]       sqllang!CSQLSatelliteCommunication::SendAbort
   95     0 [  4]         sqllang!SNIPacketAllocateEx2
   36    95 [  3]       sqllang!CSQLSatelliteCommunication::SendAbort
   40     0 [  4]         sqllang!CSQLSatelliteMessageAbort::BindBufferForWrite
   44   135 [  3]       sqllang!CSQLSatelliteCommunication::SendAbort
   26     0 [  4]         MSVCR120!memcpy_s
   50   161 [  3]       sqllang!CSQLSatelliteCommunication::SendAbort
   35     0 [  4]         sqllang!GetSatelliteSessionContext
   73   196 [  3]       sqllang!CSQLSatelliteCommunication::SendAbort
   17     0 [  4]         sqllang!CSQLSatelliteMessage::FireXEvent
   79   213 [  3]       sqllang!CSQLSatelliteCommunication::SendAbort
   16     0 [  4]         sqllang!MessageTelemetry::Record
   86   229 [  3]       sqllang!CSQLSatelliteCommunication::SendAbort
    9     0 [  4]         sqllang!CSQLSatelliteConnection::PostWriteRequest
   53     0 [  4]         sqllang!CSQLSatelliteConnection::WriteMessage
  100   291 [  3]       sqllang!CSQLSatelliteCommunication::SendAbort
   38   413 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   10     0 [  3]       sqllang!CSQLSatelliteConnection::WaitWriteDone
   42   423 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
    9     0 [  3]       sqllang!CSQLSatelliteConnection::AbortConnection
   14     0 [  4]         sqllang!_chkstk
