   

   24     0 [  0] launchpad!CLaunchContext::LaunchServTask
   35     0 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
   45     0 [  2]     launchpad!SNISetInfo
    6     0 [  3]       launchpad!_security_check_cookie
   55     6 [  2]     launchpad!SNISetInfo
   42    61 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
   19     0 [  2]     launchpad!SNIAddProviderEx
   25     0 [  3]       launchpad!AddProvider
   64     0 [  4]         launchpad!CCriticalSectionSOS::Enter
   37    64 [  3]       launchpad!AddProvider
   38     0 [  4]         launchpad!SOS_UnfairRecursiveMutexExtendedGuarantee::Release
   40   102 [  3]       launchpad!AddProvider
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   55   110 [  3]       launchpad!AddProvider
   47     0 [  4]         sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   62   157 [  3]       launchpad!AddProvider
   41     0 [  4]         launchpad!Sspi::Sspi
   69   198 [  3]       launchpad!AddProvider
   43     0 [  4]         launchpad!CryptoBase::FInit
   74   241 [  3]       launchpad!AddProvider
   21     0 [  4]         launchpad!CryptoBase::DeferIncConnBufSize
   79   262 [  3]       launchpad!AddProvider
   64     0 [  4]         launchpad!CCriticalSectionSOS::Enter
   85   326 [  3]       launchpad!AddProvider
   38     0 [  4]         launchpad!SOS_UnfairRecursiveMutexExtendedGuarantee::Release
   89   364 [  3]       launchpad!AddProvider
   51     0 [  4]         launchpad!Sspi::InitX
  105   415 [  3]       launchpad!AddProvider
   28   520 [  2]     launchpad!SNIAddProviderEx
   52   609 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
   11     0 [  2]     launchpad!EventInternal<SuspendQueueSLock>::Wait
    1     0 [  3]       KERNEL32!TlsGetValueStub
    7     0 [  3]       KERNEL32!TlsGetValue
   41     8 [  2]     launchpad!EventInternal<SuspendQueueSLock>::Wait
    2     0 [  3]       sqldk!SystemThread::GetCurrentId
   61    10 [  2]     launchpad!EventInternal<SuspendQueueSLock>::Wait
    9     0 [  3]       sqldk!SOS_Task::PreWait
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   18     8 [  3]       sqldk!SOS_Task::PreWait
    1     0 [  4]         KERNEL32!QueryPerformanceCounterStub
   19     0 [  4]         ntdll!RtlQueryPerformanceCounter
   57    28 [  3]       sqldk!SOS_Task::PreWait
   64    95 [  2]     launchpad!EventInternal<SuspendQueueSLock>::Wait
    8     0 [  3]       sqldk!SOS_Scheduler::Suspend
   35     0 [  3]       sqldk!SOS_Scheduler::SuspendNonPreemptive
   76     0 [  4]         sqldk!SOS_Scheduler::Timer::AddTimeout
   45    76 [  3]       sqldk!SOS_Scheduler::SuspendNonPreemptive
  156     0 [  4]         sqldk!SOS_Scheduler::SwitchContext
   45     0 [  4]         sqldk!SOS_Scheduler::Switch
   69   277 [  3]       sqldk!SOS_Scheduler::SuspendNonPreemptive
   68   449 [  2]     launchpad!EventInternal<SuspendQueueSLock>::Wait
    9     0 [  3]       sqldk!SOS_Task::PostWait
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   23     8 [  3]       sqldk!SOS_Task::PostWait
  114     0 [  4]         sqldk!SOS_Scheduler::UpdateWaitTimeStats
