    9     0 [  0] sqlmin!CQScanUdx::GetRow
   26     0 [  1]   sqllang!CUDXR_ExternalScript::PullRow
    9     0 [  2]     sqllang!CUDXR_ExternalScript::ProcessOutputSchema
   34     0 [  3]       sqllang!CUDXR_ExternalScript::GetOutputSchema
   29     0 [  4]         sqllang!CServerCargoContext::ReadSchemaInternal
  150     0 [  5]           sqllang!CSQLSatelliteCommunication::CSQLSatelliteCommunication
   38   150 [  4]         sqllang!CServerCargoContext::ReadSchemaInternal
   39     0 [  5]           sqllang!CSQLSatelliteCommunication::Init
   14     0 [  6]             sqllang!CAutoRg<CSQLSatelliteMessageDataChunk>::operator=
   44    14 [  5]           sqllang!CSQLSatelliteCommunication::Init
   14     0 [  6]             sqllang!CAutoRg<_SQLSatellite_ColumnSchema>::operator=
   54    28 [  5]           sqllang!CSQLSatelliteCommunication::Init
    6     0 [  6]             sqllang!_security_check_cookie
   64    34 [  5]           sqllang!CSQLSatelliteCommunication::Init
   57   248 [  4]         sqllang!CServerCargoContext::ReadSchemaInternal
   30     0 [  5]           sqllang!CServerCargoContext::ReadAllPackets
   10     0 [  6]             sqllang!CSQLSatelliteConnection::GetNextMessage
   14     0 [  7]               sqllang!CSQLSatelliteConnection::RetrieveMessage
    2     0 [  8]                 sqldk!SystemThread::GetCurrentId
   44     2 [  7]               sqllang!CSQLSatelliteConnection::RetrieveMessage
   21    46 [  6]             sqllang!CSQLSatelliteConnection::GetNextMessage
   13     0 [  7]               sqllang!EventInternal<SuspendQueueSLock>::Wait
    1     0 [  8]                 KERNEL32!TlsGetValueStub
    7     0 [  8]                 KERNEL32!TlsGetValue
   43     8 [  7]               sqllang!EventInternal<SuspendQueueSLock>::Wait
    2     0 [  8]                 sqldk!SystemThread::GetCurrentId
   65    10 [  7]               sqllang!EventInternal<SuspendQueueSLock>::Wait
   77     0 [  8]                 sqldk!SOS_Task::PreWait
   68    87 [  7]               sqllang!EventInternal<SuspendQueueSLock>::Wait
    8     0 [  8]                 sqldk!SOS_Scheduler::Suspend
                                //here is Sys.sleep

                                //here we continue
   40     0 [  8]                 sqldk!SOS_Scheduler::SuspendNonPreemptive
   72   135 [  7]               sqllang!EventInternal<SuspendQueueSLock>::Wait
   42     0 [  8]                 sqldk!SOS_Task::PostWait
   83   177 [  7]               sqllang!EventInternal<SuspendQueueSLock>::Wait
   26   306 [  6]             sqllang!CSQLSatelliteConnection::GetNextMessage
   14     0 [  7]               sqllang!CSQLSatelliteConnection::RetrieveMessage
    2     0 [  8]                 sqldk!SystemThread::GetCurrentId
   53     2 [  7]               sqllang!CSQLSatelliteConnection::RetrieveMessage
   35   361 [  6]             sqllang!CSQLSatelliteConnection::GetNextMessage
   38   396 [  5]           sqllang!CServerCargoContext::ReadAllPackets
   20     0 [  6]             sqllang!CSQLSatelliteCommunication::BindReadSNIPacket
    7     0 [  7]               sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   27     7 [  6]             sqllang!CSQLSatelliteCommunication::BindReadSNIPacket
    4     0 [  7]               sqllang!CSQLSatelliteMessageSchema::BindBufferForRead
   75     0 [  8]                 sqllang!CSQLSatelliteMessage::BindBufferForRead
   75    75 [  7]               sqllang!CSQLSatelliteMessageSchema::BindBufferForRead
   45   157 [  6]             sqllang!CSQLSatelliteCommunication::BindReadSNIPacket
   64   598 [  5]           sqllang!CServerCargoContext::ReadAllPackets
   14     0 [  6]             sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  7]               sqllang!_security_check_cookie
   17     6 [  6]             sqllang!CSQLSatelliteMessage::FireXEvent
   70   621 [  5]           sqllang!CServerCargoContext::ReadAllPackets
   16     0 [  6]             sqllang!MessageTelemetry::Record
   94   637 [  5]           sqllang!CServerCargoContext::ReadAllPackets
   66   979 [  4]         sqllang!CServerCargoContext::ReadSchemaInternal
   39     0 [  5]           sqllang!CServerCargoContext::ReadSchemaFromPackets
    4     0 [  6]             sqllang!CSQLSatelliteMessageSchema::BindBufferForRead
   27     0 [  7]               sqllang!CSQLSatelliteMessage::BindBufferForRead
   17     0 [  8]                 sqllang!CSQLSatelliteMessage::FireXEvent
   52    17 [  7]               sqllang!CSQLSatelliteMessage::BindBufferForRead
   71     0 [  8]                 sqllang!CSatelliteHub::LocateSatellite
   60    88 [  7]               sqllang!CSQLSatelliteMessage::BindBufferForRead
   12     0 [  8]                 sqllang!CAutoRefc<CSatelliteProxy>::~CAutoRefc<CSatelliteProxy>
   70   100 [  7]               sqllang!CSQLSatelliteMessage::BindBufferForRead
    6     0 [  8]                 sqllang!_security_check_cookie
   75   106 [  7]               sqllang!CSQLSatelliteMessage::BindBufferForRead
   75   181 [  6]             sqllang!CSQLSatelliteMessageSchema::BindBufferForRead
   66   256 [  5]           sqllang!CServerCargoContext::ReadSchemaFromPackets
   71  1301 [  4]         sqllang!CServerCargoContext::ReadSchemaInternal
   50     0 [  5]           sqllang!CSQLSatelliteConnection::FreePackets
   11     0 [  6]             sqllang!SNIMemRegion::Push
    2     0 [  7]               sqldk!SystemThread::GetCurrentId
   39     2 [  6]             sqllang!SNIMemRegion::Push
