   17     0 [  0] sqllang!CUDXR_ExternalScript::HandleLogMessage
    5     0 [  1]   sqllang!ex_callprint_error
   11     0 [  2]     sqllang!ex_vcallprint
    2     0 [  3]       sqldk!GetErrorReportingManager
   25     2 [  2]     sqllang!ex_vcallprint
   21     0 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   36     8 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   43    16 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   70    24 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    6     0 [  4]         sqllang!CErrorReportingManager::SGetLanguageId
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   11     8 [  4]         sqllang!CErrorReportingManager::SGetLanguageId
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   18    16 [  4]         sqllang!CErrorReportingManager::SGetLanguageId
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   24    24 [  4]         sqllang!CErrorReportingManager::SGetLanguageId
    9     0 [  4]         sqlTsEs!getmsglangid
  111    81 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    7     0 [  4]         sqllang!`anonymous namespace'::FHideUserDataParameters
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   12     8 [  4]         sqllang!`anonymous namespace'::FHideUserDataParameters
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   23    16 [  4]         sqllang!`anonymous namespace'::FHideUserDataParameters
   12     0 [  5]           sqllang!ContextAccessor::FSQLFilterLevelBasic
   35    28 [  4]         sqllang!`anonymous namespace'::FHideUserDataParameters
  121   144 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
   18     0 [  4]         sqllang!ExcHandler::ExcHandler
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   34     8 [  4]         sqllang!ExcHandler::ExcHandler
  147   186 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    6     0 [  4]         sqllang!CErrorReportingManager::SGetLanguageId
    1     0 [  5]           KERNEL32!TlsGetValueStub
