2018-11-02 13:43:35.0138 UTC [DEBUG   ] Completed configuring logger()!
2018-11-02 13:43:35.0144 UTC [INFO    ] Creating cluster...
2018-11-02 13:43:35.0790 UTC [DEBUG   ] b'namespace/sqlbigdata1 created\n'
2018-11-02 13:43:35.0922 UTC [DEBUG   ] b'namespace/sqlbigdata1 labeled\n'
2018-11-02 13:43:36.0206 UTC [DEBUG   ] Error from server (NotFound): services "service-mssql-controller" not found

2018-11-02 13:43:36.0348 UTC [DEBUG   ] Error from server (NotFound): services "service-mssql-controller" not found

2018-11-02 13:43:36.0375 UTC [INFO    ] Deploying controller...
2018-11-02 13:43:37.0601 UTC [INFO    ] The service account token is ready for controller
2018-11-02 13:43:38.0652 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:43:44.0035 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:43:49.0440 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:43:54.0935 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:00.0372 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:05.0822 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:11.0241 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:16.0656 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:22.0082 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:27.0471 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:32.0875 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:38.0290 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:43.0710 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:49.0115 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:54.0531 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:44:59.0911 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:45:05.0293 UTC [INFO    ] Waiting for controller pod to be up...
